MoleculeId,PredictedProbability
1,0.952739
2,0.897093
3,0.062827
4,0.946040
5,0.069989
6,0.629080
7,0.871154
8,0.875320
9,0.860776
10,0.877202
11,0.310608
12,0.922206
13,0.724533
14,0.927053
15,0.848323
16,0.131385
17,0.110625
18,0.083850
19,0.772400
20,0.836708
21,0.103510
22,0.801081
23,0.947620
24,0.963929
25,0.891232
26,0.849478
27,0.074146
28,0.660841
29,0.107906
30,0.079665
31,0.064410
32,0.064557
33,0.858030
34,0.068827
35,0.082155
36,0.819589
37,0.517936
38,0.890124
39,0.939370
40,0.772252
41,0.409327
42,0.055504
43,0.894106
44,0.950747
45,0.094820
46,0.919924
47,0.870733
48,0.941302
49,0.896630
50,0.553026
51,0.535993
52,0.084031
53,0.877992
54,0.087578
55,0.071938
56,0.703446
57,0.927291
58,0.848745
59,0.957760
60,0.252131
61,0.821155
62,0.885393
63,0.078353
64,0.057004
65,0.599877
66,0.475240
67,0.118356
68,0.352315
69,0.092350
70,0.233755
71,0.705479
72,0.355764
73,0.862528
74,0.802621
75,0.220549
76,0.369264
77,0.939403
78,0.282992
79,0.664109
80,0.736876
81,0.277608
82,0.094515
83,0.092389
84,0.057265
85,0.607943
86,0.668047
87,0.297927
88,0.851726
89,0.764585
90,0.156740
91,0.882700
92,0.174391
93,0.155853
94,0.179072
95,0.885035
96,0.085649
97,0.842314
98,0.672721
99,0.925264
100,0.945626
101,0.925234
102,0.931922
103,0.926177
104,0.666648
105,0.196020
106,0.116634
107,0.784540
108,0.500940
109,0.950415
110,0.218351
111,0.422749
112,0.908336
113,0.179921
114,0.948368
115,0.508557
116,0.068096
117,0.847093
118,0.123511
119,0.880082
120,0.128485
121,0.484089
122,0.089935
123,0.839477
124,0.233822
125,0.863179
126,0.060358
127,0.824313
128,0.339736
129,0.255785
130,0.100663
131,0.113141
132,0.096193
133,0.064650
134,0.905854
135,0.881782
136,0.906310
137,0.053255
138,0.634003
139,0.941431
140,0.870604
141,0.953066
142,0.864112
143,0.841709
144,0.068914
145,0.782017
146,0.075397
147,0.802649
148,0.844481
149,0.881202
150,0.301408
151,0.062660
152,0.928664
153,0.486107
154,0.945881
155,0.865749
156,0.874745
157,0.624924
158,0.920791
159,0.901540
160,0.078985
161,0.581941
162,0.090311
163,0.281311
164,0.953725
165,0.901173
166,0.600505
167,0.779002
168,0.441009
169,0.771699
170,0.946569
171,0.957009
172,0.926308
173,0.053467
174,0.132848
175,0.126224
176,0.940568
177,0.059093
178,0.784019
179,0.690144
180,0.216942
181,0.426345
182,0.202640
183,0.552736
184,0.092810
185,0.866253
186,0.270819
187,0.927014
188,0.667578
189,0.925232
190,0.953584
191,0.098011
192,0.918662
193,0.190228
194,0.930179
195,0.837909
196,0.454819
197,0.904475
198,0.947755
199,0.452952
200,0.561631
201,0.772039
202,0.075637
203,0.512984
204,0.104285
205,0.912279
206,0.721904
207,0.891279
208,0.952237
209,0.927725
210,0.084413
211,0.915786
212,0.667907
213,0.946883
214,0.110129
215,0.848456
216,0.306438
217,0.909695
218,0.914272
219,0.917951
220,0.479786
221,0.757391
222,0.077742
223,0.108446
224,0.901569
225,0.806603
226,0.898443
227,0.203933
228,0.764237
229,0.125331
230,0.802466
231,0.687788
232,0.925027
233,0.700822
234,0.646406
235,0.864417
236,0.942838
237,0.665279
238,0.476841
239,0.859198
240,0.941589
241,0.200078
242,0.068176
243,0.463263
244,0.805093
245,0.243408
246,0.946750
247,0.282651
248,0.094586
249,0.896643
250,0.086104
251,0.952302
252,0.278327
253,0.181054
254,0.864513
255,0.930822
256,0.911030
257,0.105021
258,0.753195
259,0.077280
260,0.097891
261,0.873284
262,0.327457
263,0.146254
264,0.601127
265,0.088066
266,0.866672
267,0.692641
268,0.626652
269,0.591256
270,0.953057
271,0.943436
272,0.917622
273,0.866071
274,0.805299
275,0.234259
276,0.770114
277,0.902342
278,0.120209
279,0.464799
280,0.126972
281,0.080175
282,0.899710
283,0.684693
284,0.064934
285,0.696261
286,0.740244
287,0.940894
288,0.602197
289,0.918000
290,0.272648
291,0.066265
292,0.379387
293,0.597173
294,0.604482
295,0.057036
296,0.162095
297,0.058892
298,0.383531
299,0.818751
300,0.935820
301,0.909065
302,0.209788
303,0.907346
304,0.810612
305,0.946480
306,0.959405
307,0.067262
308,0.880596
309,0.766322
310,0.947286
311,0.724129
312,0.064309
313,0.731472
314,0.191797
315,0.908941
316,0.074103
317,0.900034
318,0.600407
319,0.289194
320,0.096554
321,0.373543
322,0.945491
323,0.945439
324,0.481445
325,0.328268
326,0.914930
327,0.941438
328,0.937794
329,0.423237
330,0.857859
331,0.936887
332,0.864694
333,0.148541
334,0.376068
335,0.648378
336,0.873844
337,0.913935
338,0.082526
339,0.090011
340,0.894609
341,0.865513
342,0.934627
343,0.065269
344,0.197950
345,0.956420
346,0.942758
347,0.296705
348,0.255188
349,0.086574
350,0.917133
351,0.849267
352,0.463295
353,0.797838
354,0.052276
355,0.788518
356,0.894008
357,0.742738
358,0.089112
359,0.152910
360,0.939532
361,0.868797
362,0.937052
363,0.893559
364,0.895993
365,0.681253
366,0.903720
367,0.788345
368,0.615437
369,0.053555
370,0.176252
371,0.475790
372,0.104151
373,0.837119
374,0.085389
375,0.890764
376,0.854748
377,0.938310
378,0.941405
379,0.934669
380,0.139396
381,0.939400
382,0.953042
383,0.948708
384,0.819597
385,0.893388
386,0.866741
387,0.096798
388,0.138967
389,0.066029
390,0.949274
391,0.669584
392,0.671920
393,0.740232
394,0.588183
395,0.864322
396,0.073752
397,0.480154
398,0.107783
399,0.350868
400,0.871743
401,0.955205
